Test run for 90 minutes of runtime, approximately one full orbit for most LEO sats.

CPU

	11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz

	Base speed:	3.00 GHz
	Sockets:	1
	Cores:	2
	Logical processors:	4
	Virtualization:	Enabled
	L1 cache:	160 KB
	L2 cache:	2.5 MB
	L3 cache:	6.0 MB

Total sats: 16978
TIME 0.0
TIME 0.1
...
TIME 5399.800000002113
TIME 5399.900000002113

         961071828 function calls (960701551 primitive calls) in 3883.942 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 2913.363 2913.363 3883.947 3883.947 satEvol.py:1(<module>)
     6298    0.044    0.000    0.044    0.000 predicates.py:626(covers)
    84032    0.044    0.000    0.114    0.000 event.py:243(notify)
   108002    0.042    0.000    0.042    0.000 _function_base_impl.py:904(_copy_dispatcher)
     1086    0.041    0.000    0.054    0.000 templates.py:887(make_overload_template)
   110653    0.039    0.000    0.039    0.000 multiarray.py:161(concatenate)
   123749    0.038    0.000    0.038    0.000 transformer.py:348(_transformer)
     1034    0.038    0.000    0.040    0.000 {built-in method builtins.eval}
    52068    0.037    0.000    0.037    0.000 {method 'item' of 'numpy.generic' objects}
        1    0.035    0.035    0.035    0.035 {built-in method matplotlib._c_internal_utils.display_is_valid}
   140181    0.034    0.000    0.034    0.000 linestring.py:64(<listcomp>)
     6117    0.033    0.000    0.033    0.000 predicates.py:1110(intersects_xy)
    54210    0.031    0.000    0.031    0.000 fromnumeric.py:3075(_max_dispatcher)
    51238    0.031    0.000    0.135    0.000 linestring.py:66(<listcomp>)
     1069    0.030    0.000    0.030    0.000 {built-in method io.open_code}
   101/64    0.030    0.000    0.170    0.003 {built-in method _imp.exec_dynamic}
      382    0.030    0.000    0.196    0.001 analysis.py:23(compute_use_defs)
    38800    0.030    0.000    0.147    0.000 event.py:209(broadcast)
     4673    0.030    0.000    0.030    0.000 {built-in method posix.stat}
    43908    0.030    0.000    0.520    0.000 base.py:690(disjoint)
    20857    0.027    0.000    0.027    0.000 {built-in method __new__ of type object at 0x55aa924789a0}
   122608    0.027    0.000    0.306    0.000 trace.pyx:207(interpolate)
    18530    0.026    0.000    1.560    0.000 trace.pyx:385(bisect)
    83901    0.025    0.000    0.036    0.000 {built-in method _abc._abc_instancecheck}
   181193    0.025    0.000    0.025    0.000 {method 'startswith' of 'str' objects}
50338/22017    0.025    0.000    0.159    0.000 _utils.py:44(__str__)
    66043    0.025    0.000    0.035    0.000 targetconfig.py:111(getter)
        2    0.024    0.012    0.026    0.013 image.py:219(_rgb_to_rgba)
    34043    0.023    0.000    0.036    0.000 utils.py:475(stream_list)
    52066    0.023    0.000    0.060    0.000 base.py:69(_maybe_unpack)
    52171    0.023    0.000    0.024    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
   945/81    0.023    0.000    3.581    0.044 compiler_machinery.py:267(_runPass)
55925/48135    0.022    0.000    0.040    0.000 abstract.py:121(__hash__)
 1543/463    0.022    0.000    0.056    0.000 sre_parse.py:494(_parse)
    14547    0.022    0.000    0.135    0.000 values.py:544(_to_string)
    42016    0.021    0.000    0.028    0.000 event.py:270(on_end)
    14007    0.021    0.000    0.120    0.000 instructions.py:13(__init__)
70567/67682    0.021    0.000    0.317    0.000 {built-in method builtins.next}
   152220    0.021    0.000    0.037    0.000 {method 'get' of 'dict' objects}
38988/38783    0.021    0.000    0.044    0.000 _utils.py:54(get_reference)
    17390    0.021    0.000    0.021    0.000 KeplerTools.py:139(getORBELM)
    38800    0.020    0.000    0.040    0.000 event.py:100(__init__)
20300/19038    0.020    0.000    1.432    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     6516    0.019    0.000    0.073    0.000 ansitowin32.py:81(__init__)
